City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,kayangel,8.0823,134.7173,27.91,76,32,1.99,PW,1697492029
307,east end,34.5507,-92.341,20.84,43,0,0.89,US,1697491600
308,colares,38.7992,-9.4469,22.96,95,78,10.28,PT,1697492078
309,lima,-12.0432,-77.0282,24.94,65,75,4.12,PE,1697491777
310,lycksele,64.5954,18.6735,-1.98,93,19,1.03,SE,1697492079
311,gadzhiyevo,69.2551,33.3362,3.33,73,100,13.22,RU,1697492035
312,trancas,-26.2314,-65.2803,32.51,26,0,7.05,AR,1697492080
313,laguna,38.421,-121.4238,29.19,39,0,2.06,US,1697492080
314,show low,34.2542,-110.0298,27.27,20,0,2.57,US,1697492081
315,eyl,7.9803,49.8164,27.02,83,33,3.23,SO,1697492081
316,tindouf,27.6711,-8.1474,28.25,20,40,3.09,DZ,1697492027
317,deqen,29.9618,90.7188,3.47,60,91,1.91,CN,1697492082
318,harper,4.375,-7.7169,24.77,89,97,3.42,LR,1697492083
319,sokoni,-6.4333,39.55,26.09,83,34,4.72,TZ,1697492083
320,ta`u,-14.2336,-169.5144,26.83,79,55,8.53,AS,1697492083
321,borogontsy,62.6683,131.1683,-5.4,62,97,0.45,RU,1697492084
322,nova sintra,14.8667,-24.7167,25.57,73,37,3.71,CV,1697491953
323,yuzawa,39.1667,140.5,12.3,68,38,5.27,JP,1697492085
324,east london,-33.0153,27.9116,17.05,82,72,6.15,ZA,1697491992
325,palikir - national government center,6.9248,158.1611,27.47,89,75,1.54,FM,1697492051
326,greenville,35.6127,-77.3663,17.09,60,75,4.12,US,1697491959
327,boke,10.9409,-14.2967,24.88,97,12,1.4,GN,1697492086
328,remire-montjoly,4.9167,-52.2667,30.02,70,40,3.09,GF,1697491962
329,kupang,-10.1667,123.5833,22.32,78,20,1.03,ID,1697492087
330,long beach,33.767,-118.1892,36.09,68,0,4.63,US,1697492034
331,danville,36.586,-79.395,14.6,64,100,3.09,US,1697491558
332,yuzhno-kurilsk,44.0306,145.8556,10.76,75,33,4.5,RU,1697492054
333,klyuchi,52.2667,79.1667,9.92,62,100,4.18,RU,1697492018
334,siavonga,-16.5382,28.7088,24.84,76,100,3.23,ZM,1697492089
335,imbituba,-28.24,-48.6703,22.17,100,100,2.35,BR,1697492090
336,ijui,-28.3878,-53.9147,20.49,93,98,6.85,BR,1697492090
337,cape canaveral,28.4058,-80.6048,22.04,56,40,7.72,US,1697491912
338,acarau,-2.8856,-40.12,26.14,77,4,7.06,BR,1697491987
339,singaraja,-8.112,115.0882,24.97,78,92,0.64,ID,1697492092
340,zhigalovo,54.8097,105.1578,2.82,95,100,2.68,RU,1697492092
341,ruidoso,33.3317,-105.673,22.25,27,0,2.06,US,1697492092
342,vilppula,62.0212,24.5048,3.77,86,73,3.42,FI,1697492093
343,lesozavodsk,45.4794,133.4244,0.76,53,1,2.72,RU,1697492093
344,tucuma,-0.1833,-50.05,28.11,73,76,4.4,BR,1697491865
345,melekeok village,7.4957,134.6367,24.31,94,75,0.0,PW,1697492094
346,tazovsky,67.4667,78.7,-1.11,94,95,1.13,RU,1697491958
347,the pas,53.8251,-101.2541,15.01,51,0,2.57,CA,1697492095
348,necochea,-38.5473,-58.7368,10.68,92,20,6.45,AR,1697491938
349,aioun,16.6614,-9.6149,31.29,10,0,2.88,MR,1697492095
350,wailea,19.8858,-155.123,28.57,76,20,3.6,US,1697492096
351,rongelap,11.1635,166.8941,28.73,75,100,8.41,MH,1697492096
352,puerto aysen,-45.4,-72.7,9.99,87,82,1.8,CL,1697491954
353,springbok,-29.6643,17.8865,18.42,31,0,2.31,ZA,1697492097
354,elena,42.9333,25.8833,6.1,53,95,1.76,BG,1697492097
355,abepura,-2.6333,140.5833,25.45,78,20,0.0,ID,1697492098
356,goz beida,13.95,20.55,31.24,25,62,4.55,TD,1697492098
357,brookings,44.3114,-96.7984,16.17,47,0,2.57,US,1697491942
358,yanchep,-31.55,115.6833,24.07,39,0,1.2,AU,1697491617
359,vera cruz,-12.6333,-41.0333,27.76,41,4,5.04,BR,1697492100
360,mogadishu,2.0371,45.3438,26.41,87,100,4.73,SO,1697491594
361,kaspiyskiy,45.3929,47.3707,15.55,89,82,3.0,RU,1697492101
362,haiku-pauwela,20.9219,-156.3051,28.43,68,40,10.29,US,1697492019
363,kulhudhuffushi,6.6221,73.07,28.17,73,75,5.31,MV,1697492102
